key,code,beginning-moment,end-moment,location,instructor,contact-email,link,draft-mode,key:training-module
training-session-30,TS-ABC-148,2022/03/22 15:32,2022/04/22 15:32,Это пример местоположения,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-31,TS-ABC-149,2022/03/22 15:32,2022/04/22 15:32,هذا موقع عينة,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-32,TS-ABC-150,2022/03/22 15:32,2022/04/22 15:32,यह एक नमूना स्थान है,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-33,TS-ABC-151,2022/03/22 15:32,2022/04/22 15:32,Αυτό είναι ένα δείγμα τοποθεσίας,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-34,TS-ABC-152,2022/03/22 15:32,2022/04/22 15:32,*/``´`ç!?'¿|º¨¨¡(´´,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-35,TS-ABC-153,2022/03/22 15:32,2022/04/22 15:32,<script>alert('hi')</script>,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-36,TS-ABC-000,2022/03/22 15:32,2022/04/22 15:32,';X;--,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-37,TS-ABC-154,2022/03/22 15:32,2022/04/22 15:32,Sample location.,1,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-38,TS-ABC-155,2022/03/22 15:32,2022/04/22 15:32,Sample location.,2.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-39,TS-ABC-156,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Estás viendo un instructor de ejemplo.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-40,TS-ABC-157,2022/03/22 15:32,2022/04/22 15:32,Sample location.,This is a sample instructor thought to have exactly 75 characters as string,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-41,TS-ABC-158,2022/03/22 15:32,2022/04/22 15:32,Sample location.,This is a sample instructor to reach exactly 74 characters as string here.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-42,TS-ABC-159,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Αυτό είναι ένα δείγμα εκπαιδευτή,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-43,TS-ABC-160,2022/03/22 15:32,2022/04/22 15:32,Sample location.,यह एक नमूना प्रशिक्षक है,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-44,TS-ABC-161,2022/03/22 15:32,2022/04/22 15:32,Sample location.,هذا هو نموذج للمدرب,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-45,TS-ABC-162,2022/03/22 15:32,2022/04/22 15:32,Sample location.,這是範例講師,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-46,TS-ABC-163,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Это пример инструктора,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-47,TS-ABC-164,2022/03/22 15:32,2022/04/22 15:32,Sample location.,*/``´`ç!?'¿|º¨¨¡(´´,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-48,TS-ABC-165,2022/03/22 15:32,2022/04/22 15:32,Sample location.,<script>alert('hi')</script>,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-49,TS-ABC-222,2022/03/22 15:32,2022/04/22 15:32,Sample location.,';X;--,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-50,TS-ABC-166,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@alum.us.es,https://www.sampleweb.com,false,training-module-01
training-session-51,TS-ABC-167,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@100.100.100.2,https://www.sampleweb.com,false,training-module-01
training-session-52,TS-ABC-168,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession!@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-53,TS-ABC-169,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsessiontoreach64onthelocalpartoftheemailtotestitworksoki@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-54,TS-ABC-170,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsessiontoreach63onthelocalpartoftheemailtotestitworksok@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-55,TS-ABC-171,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsessiontoreach254charactersnfiowienfoiowie@areuafha.iuwfhewu.ifhoawef.hoaewhoa.ehfoaeho.ihfaohfi.oahfoaew.hfoiaehf.ohohfoeh.foaihfoi.ahfiofho.fhofhaoi.hfiafaof.haoiwefh.oaiefhao.iehfaoiw.ehfiohwe.oiahfoia.whfawhef.aiofoaei.eheieioo.ooooiyyy.j.com,https://www.sampleweb.com,false,training-module-01
training-session-56,TS-ABC-172,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsessiontoreach255charactersnfiowienfoiowie@areuafha.iuwfhewu.ifhoawef.hoaewhoa.ehfoaeho.ihfaohfi.oahfoaew.hfoiaehf.ohohfoeh.foaihfoi.ahfiofho.fhofhaoi.hfiafaof.haoiwefh.oaiefhao.iehfaoiw.ehfiohwe.oiahfoia.whfawhef.aiofoaei.eheieioo.ooooiyyy.jy.com,https://www.sampleweb.com,false,training-module-01
training-session-57,TS-ABC-173,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@x.es,https://www.sampleweb.com,false,training-module-01
training-session-58,TS-ABC-174,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@üñîçódé.com,https://www.sampleweb.com,false,training-module-01
training-session-59,TS-ABC-175,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@icloud.com,https://www.sampleweb.com,false,training-module-01
training-session-60,TS-ABC-176,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@outlook.com,https://www.sampleweb.com,false,training-module-01
training-session-61,TS-ABC-177,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,ts@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-62,TS-ABC-178,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,t@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-63,TS-ABC-179,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,,false,training-module-01
training-session-64,TS-ABC-180,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,,false,training-module-01
training-session-65,TS-ABC-181,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,ftp://user:password@ftp.example.org:8080/files/file.txt,false,training-module-01
training-session-66,TS-ABC-182,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.youtube.com/watch?v=LA-MZl_w0Zc&list=LL&index=1,false,training-module-01
training-session-67,TS-ABC-183,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sample.org,false,training-module-01
training-session-68,TS-ABC-184,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sample.io,false,training-module-01
training-session-69,TS-ABC-185,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.samplewebtoreachthemaximumof255charactersfjekjndfiwoiejfijoijoijowijoiejfowijefiwoefjwoifoicosioicjisdjoicjsdoijcoiscjjjjcsidjcoisjosjcosjooinvjnkejknknekjfnwkefnkwenfkwjenfkwenfkjwnfkwnekfnwekfnwkefnkwefnkwenfkwejejejjejejwfeeeffeggh553tt.com,false,training-module-01
training-session-70,TS-ABC-186,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.samplewebtoreachthemaximumof255charactersminus1fiwoiejfijoijoijowijoiejfowijefiwoefjwoifoicosioicjisdjoicjsdoijcoiscjjjjcsidjcoisjosjcosjooinvjnkejknknekjfnwkefnkwenfkwjenfkwenfkjwnfkwnekfnwekfnwkefnkwefnkwenfkwejejejjejejwfeeeffegghf553tt.es,false,training-module-01
training-session-71,TS-ABC-187,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-01
training-session-72,TS-ABC-188,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,true,training-module-01
training-session-73,TS-ABC-189,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-02
training-session-74,TS-ABC-190,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-56
training-session-75,TS-ABC-191,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-18
training-session-76,TS-ABC-192,2022/03/22 15:32,2022/04/22 15:32,Sample location.,Sample instructor.,trainingsession@gmail.com,https://www.sampleweb.com,false,training-module-22
