key,code,department,description,email,heading,instantiation-moment,link,confirmation
claim-48,C-1270,department,description,,heading,2000/01/01 00:01,,1
claim-49,C-1271,department,description,,heading,2022/07/29 23:59,,1
claim-50,C-1272,department,description,,heading,2022/07/30 00:00,,1
claim-51,C-1273,department,description,,heading,2010/12/31 23:59,,1
claim-52,C-1274,department,description,,heading,2011/01/01 00:00,,1
claim-53,C-1275,department,description,,heading,2016/02/27 23:59,,1
claim-54,C-1276,department,description,,heading,2016/02/28 00:00,,1
claim-55,C-1277,department,description,,heading,2016/02/29 15:32,,1
claim-56,C-1278,department,description,,heading,2020/03/31 23:59,,1
claim-57,C-1279,department,description,,heading,2020/04/01 00:00,,1
claim-58,C-1280,department,description,,heading,2020/07/30 00:00,http://www.example.com,1
claim-59,C-1281,department,description,,heading,2020/07/30 00:00,http://www.example.jp,1
claim-60,C-1282,department,description,,heading,2020/07/30 00:00,http://www.example.fr,1
claim-61,C-1283,department,description,,heading,2020/07/30 00:00,https://example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyza,1
claim-62,C-1284,department,description,,heading,2020/07/30 00:00,https://github.com/search?q=python+language&type=Repositories,1
